affected,end_date,deaths,lon,damage,lat,start_date,extra
NULL,1991,NULL,15.004,5000000.0,37.734,1991,{'Name': 'Etna'}
NULL,1992,4.0,125.48,NULL,2.78,1992,{'Name': 'Karangetang [Api Siau]'}
4.0,1992,2.0,109.92,NULL,-7.2,1992,{'Name': 'Dieng Volc Complex'}
100.0,1992,22.0,-86.702,6000000.0,12.506,1992,{'Name': 'Negro; Cerro'}
2.0,1992,12.0,125.48,NULL,2.78,1992,{'Name': 'Karangetang [Api Siau]'}
10.0,1992,2.0,100.473,NULL,-0.381,1992,{'Name': 'Marapi'}
NULL,1992,12.0,120.35,NULL,15.13,1992,{'Name': 'Pinatubo'}
NULL,1992,NULL,-152.25,4000000.0,61.3,1992,{'Name': 'Spurr'}
NULL,1992,6.0,112.92,NULL,-8.108,1992,{'Name': 'Semeru'}
NULL,1993,18.0,-77.37,NULL,1.22,1993,{'Name': 'Galeras'}
24.0,1993,2.0,128.675,NULL,-7.125,1993,{'Name': 'Wurlali'}
NULL,1993,150.0,123.685,NULL,13.257,1993,{'Name': 'Mayon'}
NULL,1993,4.0,-78.598,NULL,-0.171,1993,{'Name': 'Guagua Pichincha'}
44.0,1993,2.0,-155.292,NULL,19.425,1993,{'Name': 'Kilauea'}
10.0,1993,2.0,105.423,NULL,-6.102,1993,{'Name': 'Krakatau'}
NULL,1993,2.0,130.3,NULL,32.75,1993,{'Name': 'Unzen'}
NULL,1993,8.0,120.35,NULL,15.13,1993,{'Name': 'Pinatubo'}
NULL,1993,28.0,120.35,NULL,15.13,1993,{'Name': 'Pinatubo'}
NULL,1994,2.0,169.425,NULL,-19.52,1994,{'Name': 'Yasur'}
NULL,1994,12.0,112.92,NULL,-8.108,1994,{'Name': 'Semeru'}
NULL,1994,2.0,131.1,NULL,32.88,1994,{'Name': 'Aso'}
NULL,1994,650.0,-76.05,2400000.0,2.92,1994,{'Name': 'Huila'}
NULL,1994,4.0,152.203,35000000.0,-4.271,1994,{'Name': 'Rabaul'}
NULL,1994,62.0,116.47,NULL,-8.42,1994,{'Name': 'Rinjani'}
NULL,1994,120.0,110.442,NULL,-7.542,1994,{'Name': 'Merapi'}
NULL,1995,4.0,169.425,NULL,-19.52,1995,{'Name': 'Yasur'}
NULL,1995,8.0,137.58,NULL,36.22,1995,{'Name': 'Yake-dake'}
40.0,1995,NULL,-24.35,NULL,14.95,1995,{'Name': 'Fogo'}
NULL,1995,2.0,-90.601,NULL,14.381,1995,{'Name': 'Pacaya'}
NULL,1995,2.0,121.83,NULL,-8.758,1995,{'Name': 'Kelimutu'}
