start_date,end_date,country_name,iso,location,dis_type,dis_subtype,total_deaths,total_affected,total_dam,insured_losses,disaster_no,associated_dis,associated_dis2
02/02/2012,07/02/2012,Bosnia and Herzegovina,BIH,"Sokolac, Cajnice, Kalinovik, Stari Grad, Kladanj, Krupes, Han Pijesak districts (Republika Srpska province), Luka, Krusev Do, Bozici (Srebrenica districts, Republika Srpska province), Drvar, Kupres (Zapadnobosanski district, Federacija Bosne I Hercegovine province)",Extreme temperature ,Cold wave,4,10347,0,0,2012-0019,--,--
/12/1968,/12/1968,Brazil,BRA,,Extreme temperature ,Heat wave,113,0,0,0,1968-0131,--,--
/07/1975,/07/1975,Brazil,BRA,Parana,Extreme temperature ,Cold wave,70,600,600000,0,1975-0039,--,--
/12/1975,/12/1975,Brazil,BRA,,Extreme temperature ,Heat wave,56,0,0,0,1975-0145,--,--
/05/1988,/05/1988,Brazil,BRA,,Extreme temperature ,Cold wave,77,0,0,0,1988-0191,--,--
24/06/1994,24/06/1994,Brazil,BRA,Minas Gerais,Extreme temperature ,Cold wave,0,0,475000,0,1994-0160,--,--
/07/2000,/07/2000,Brazil,BRA,Porto Alegre district (Rio Grande Do Sul province),Extreme temperature ,Cold wave,7,0,0,0,2000-0456,--,--
/07/2004,/07/2004,Brazil,BRA,"Santa Catarina, Parana provinces",Extreme temperature ,Cold wave,0,0,0,0,2004-0331,--,--
/02/2010,/02/2010,Brazil,BRA,"Cariocas borough (Nova Lima district, Minas Gerais province), Santos district (Sao Paulo province)",Extreme temperature ,Heat wave,32,0,0,0,2010-0057,--,--
30/11/1998,08/12/1998,Bulgaria,BGR,"Montana, Sofia",Extreme temperature ,Cold wave,3,323,0,0,1998-0395,--,--
/01/2000,/01/2000,Bulgaria,BGR,"Sofia province, Sofia-city province",Extreme temperature ,Cold wave,0,0,0,0,2000-0029,--,--
/06/2000,/07/2000,Bulgaria,BGR,"Sofia, Sofia-city, Stata Zagora, Blagoevgrad, Vidin provinces",Extreme temperature ,Heat wave,7,0,50,0,2000-0382,--,--
22/01/2006,25/01/2006,Bulgaria,BGR,"Burgas, Varna provinces",Extreme temperature ,Severe winter conditions,18,20,0,0,2005-0713,--,--
